B5,0,16:30:00,16:30:00,0,F,2018-03-03
G1,0,10:00:00,10:00:00,1,M,2018-03-03
G2,0,11:30:00,11:30:00,2,F,2018-03-03
G3,0,13:00:00,13:00:00,4,M,2018-03-03
G4,1,15:00:00,14:30:00,3,F,2018-03-03
G5,0,16:30:00,16:30:00,0,M,2018-03-03
B1,0,10:00:00,10:00:00,1,F,2018-03-10
B2,0,11:30:00,11:30:00,2,M,2018-03-10
B3,1,13:30:00,13:00:00,6,F,2018-03-10
B4,0,15:00:00,15:00:00,3,M,2018-03-10
B5,0,16:30:00,16:30:00,0,F,2018-03-10
G1,0,10:00:00,10:00:00,1,M,2018-03-10
G2,0,11:30:00,11:30:00,2,F,2018-03-10
G3,0,13:00:00,13:00:00,4,M,2018-03-10
G4,1,15:00:00,14:30:00,3,F,2018-03-10
G5,0,16:30:00,16:30:00,0,M,2018-03-10
B1,0,10:00:00,10:00:00,1,F,2018-03-17
B2,0,11:30:00,11:30:00,2,M,2018-03-17
B3,1,13:30:00,13:00:00,6,F,2018-03-17
B4,0,15:00:00,15:00:00,3,M,2018-03-17
B5,0,16:30:00,16:30:00,0,F,2018-03-17
G1,0,10:00:00,10:00:00,1,M,2018-03-17
G2,0,11:30:00,11:30:00,2,F,2018-03-17
G3,0,13:00:00,13:00:00,4,M,2018-03-17
G4,1,15:00:00,14:30:00,3,F,2018-03-17
G5,0,16:30:00,16:30:00,0,M,2018-03-17
B1,0,10:00:00,10:00:00,1,F,2018-03-24
B2,0,11:30:00,11:30:00,2,M,2018-03-24
B3,1,13:30:00,13:00:00,6,F,2018-03-24
B4,0,15:00:00,15:00:00,3,M,2018-03-24
B5,0,16:30:00,16:30:00,0,F,2018-03-24
G1,0,10:00:00,10:00:00,1,M,2018-03-24
G2,0,11:30:00,11:30:00,2,F,2018-03-24
G3,0,13:00:00,13:00:00,4,M,2018-03-24
G4,1,15:00:00,14:30:00,3,F,2018-03-24
G5,0,16:30:00,16:30:00,0,M,2018-03-24
B1,0,10:00:00,10:00:00,1,F,2018-03-31
B2,0,11:30:00,11:30:00,2,M,2018-03-31
B3,1,13:30:00,13:00:00,6,F,2018-03-31
B4,0,15:00:00,15:00:00,3,M,2018-03-31
B5,0,16:30:00,16:30:00,0,F,2018-03-31
G1,0,10:00:00,10:00:00,1,M,2018-03-31
G2,0,11:30:00,11:30:00,2,F,2018-03-31
G3,0,13:00:00,13:00:00,4,M,2018-03-31
G4,1,15:00:00,14:30:00,3,F,2018-03-31
G5,0,16:30:00,16:30:00,0,M,2018-03-31
B1,0,10:00:00,10:00:00,1,F,2018-04-07
B2,0,11:30:00,11:30:00,2,M,2018-04-07
B3,1,13:30:00,13:00:00,6,F,2018-04-07
B4,0,15:00:00,15:00:00,3,M,2018-04-07
B5,0,16:30:00,16:30:00,0,F,2018-04-07
G1,0,10:00:00,10:00:00,1,M,2018-04-07
G2,0,11:30:00,11:30:00,2,F,2018-04-07
G3,0,13:00:00,13:00:00,4,M,2018-04-07
G4,1,15:00:00,14:30:00,3,F,2018-04-07
G5,0,16:30:00,16:30:00,0,M,2018-04-07
B1,0,10:00:00,10:00:00,1,F,2018-04-14
B2,0,11:30:00,11:30:00,2,M,2018-04-14
B3,1,13:30:00,13:00:00,6,F,2018-04-14
B4,0,15:00:00,15:00:00,3,M,2018-04-14
B5,0,16:30:00,16:30:00,0,F,2018-04-14
G1,0,10:00:00,10:00:00,1,M,2018-04-14
G2,0,11:30:00,11:30:00,2,F,2018-04-14
G3,0,13:00:00,13:00:00,4,M,2018-04-14
G4,1,15:00:00,14:30:00,3,F,2018-04-14
G5,0,16:30:00,16:30:00,0,M,2018-04-14
B1,0,10:00:00,10:00:00,1,F,2018-04-21
B2,0,11:30:00,11:30:00,2,M,2018-04-21
B3,1,13:30:00,13:00:00,6,F,2018-04-21
B4,0,15:00:00,15:00:00,3,M,2018-04-21
